# LWA Mini-Station with 64 antennas
# Footprint: 70 by 80 m
# Estimated Cable length: 6170 m per pol
#
# ID  x [m; east +]  y [m; north +]
  1    -27.214        +16.877
  2    -16.723        +19.990
  3    -16.620        +14.979
  4    -11.639        +13.161
  5     -9.978         +8.644
  6     -9.769         +3.587
  7     -0.708         -3.946
  8     -9.075         -3.979
  9     -7.351         -9.308
 10     -8.441        -16.344
 11     -1.919         -9.550
 12     -3.702        -14.475
 13    +11.484        -23.195
 14    -19.250        +31.459
 15    -13.105        +25.034
 16    -11.740        +19.678
 17     -7.674        +22.650
 18     -7.556        +16.193
 19     -6.435        +12.096
 20     -1.949         +9.532
 21     -4.994         +5.045
 22     +3.036        +12.261
 23     -0.473         +3.000
 24     +2.515         +7.286
 25     +6.695         +4.623
 26     +3.814         +0.401
 27     +4.304         -8.465
 28     +9.302         -8.314
 29    +11.259         -3.762
 30    +11.980        -13.038
 31    +15.636         -8.954
 32     -6.234        +48.484
 33    -11.453        +36.454
 34     -3.642        +29.397
 35     -1.283        +19.608
 36     +1.945        +28.903
 37     +2.960        +22.230
 38     +3.196        +17.364
 39     +7.453        +14.669
 40     +7.251         +9.700
 41    +11.772        +17.182
 42    +16.263        +14.598
 43    +11.577         +7.018
 44    +10.857         +1.904
 45    +16.370         +9.556
 46    +20.139         +6.268
 47    +18.387         -4.853
 48    +24.124         -3.450
 49     +4.264        +47.214
 50     +6.045        +41.226
 51     +7.025        +31.168
 52    +15.528        +37.509
 53    +11.029        +28.008
 54    +11.384        +22.953
 55    +18.089        +32.781
 56    +15.579        +25.641
 57    +15.676        +20.419
 58    +20.688        +27.366
 59    +21.115        +16.038
 60    +21.845        +10.992
 61    +26.003        +13.981
 62    +31.899         -1.408
 63    +38.242         +3.139
 64    +15.649        +48.758
